sample_id,actual_price,predicted_price,residual,absolute_error,percentage_error,absolute_percentage_error,prediction_ratio,price_segment,issue_type,model_name,target_used
5617,5.5,12.167930976660642,-6.667930976660642,6.667930976660642,-1.212351086445144,1.212351086445144,2.2123510862633258,Low,extreme_error,LightGBM,log_target_price
2063,2.5,5.525270388044134,-3.0252703880441336,3.0252703880441336,-1.21010815473361,1.21010815473361,2.2101081543336103,Low,extreme_error,LightGBM,target_price
3608,4.5,9.936786966004608,-5.436786966004608,5.436786966004608,-1.208174881065874,1.208174881065874,2.208174880843652,Low,extreme_error,CatBoost,target_price
5123,3.9,8.610663573152873,-4.710663573152873,4.710663573152873,-1.2078624543448746,1.2078624543448746,2.207862454088464,Low,extreme_error,LightGBM,log_target_price
3442,5.0,11.021172974736183,-6.021172974736183,6.021172974736183,-1.2042345947063895,1.2042345947063895,2.20423459450639,Low,extreme_error,LightGBM,log_target_price
5123,3.9,8.561567806625465,-4.661567806625465,4.661567806625465,-1.1952737962641515,1.1952737962641515,2.1952737960077413,Low,extreme_error,CatBoost,log_target_price
4743,2.499,5.479003676435807,-2.9800036764358078,2.9800036764358078,-1.1924784614819242,1.1924784614819242,2.1924784610817643,Low,extreme_error,CatBoost,log_target_price
2890,4.39,9.573111377815138,-5.1831113778151385,5.1831113778151385,-1.1806631837436163,1.1806631837436163,2.1806631835158257,Low,extreme_error,CatBoost,target_price
4796,3.0,6.526227481122466,-3.526227481122466,3.526227481122466,-1.1754091599823522,1.1754091599823522,2.175409159649019,Low,extreme_error,LightGBM,target_price
2415,2.25,4.888211026315851,-2.638211026315851,2.638211026315851,-1.1725382333970278,1.1725382333970278,2.1725382329525837,Low,extreme_error,LightGBM,target_price
7133,6.5,14.090923247781047,-7.590923247781047,7.590923247781047,-1.167834345632802,1.167834345632802,2.167834345478956,Mid,extreme_error,CatBoost,target_price
1420,13.999,30.21403964818981,-16.21503964818981,16.21503964818981,-1.1582998533489184,1.1582998533489184,2.1582998532774846,High,extreme_error,LightGBM,target_price
3704,1.39,2.9945831010550923,-1.6045831010550924,1.6045831010550924,-1.1543763308638244,1.1543763308638244,2.1543763301444,Low,extreme_error,LightGBM,target_price
2114,4.9,10.551995104541342,-5.651995104541342,5.651995104541342,-1.153468388446505,1.153468388446505,2.1534683882424237,Low,extreme_error,LightGBM,target_price
3893,8.9,19.15945489802803,-10.25945489802803,10.25945489802803,-1.1527477412219418,1.1527477412219418,2.1527477411095823,Mid,extreme_error,LightGBM,log_target_price
864,1.5,3.221896948602709,-1.721896948602709,1.721896948602709,-1.147931298303185,1.147931298303185,2.1479312976365184,Low,extreme_error,LightGBM,target_price
3704,1.39,2.984590441598152,-1.5945904415981522,1.5945904415981522,-1.14718736723091,1.14718736723091,2.1471873665114853,Low,extreme_error,LightGBM,log_target_price
994,4.0,8.56826805102942,-4.5682680510294205,4.5682680510294205,-1.1420670124718384,1.1420670124718384,2.142067012221838,Low,extreme_error,LightGBM,log_target_price
6686,19.0,40.43090036044806,-21.430900360448057,21.430900360448057,-1.127942124174743,1.127942124174743,2.1279421241221117,Premium,extreme_error,LightGBM,log_target_price
4796,3.0,6.379097703599943,-3.3790977035999434,3.3790977035999434,-1.126365900824526,1.126365900824526,2.126365900491193,Low,extreme_error,CatBoost,target_price
4796,3.0,6.373309625956628,-3.373309625956628,3.373309625956628,-1.1244365416107305,1.1244365416107305,2.124436541277397,Low,extreme_error,CatBoost,log_target_price
994,4.0,8.485775284515363,-4.485775284515363,4.485775284515363,-1.1214438208484796,1.1214438208484796,2.12144382059848,Low,extreme_error,CatBoost,target_price
5273,6.8,14.38071865314114,-7.5807186531411395,7.5807186531411395,-1.11481156647446,1.11481156647446,2.114811566327401,Mid,extreme_error,LightGBM,target_price
